date,year,round,grandPrixId,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1981-03-15,1981,1,united-states-west,arrows,Arrows,DNQ,,29,1000.0,983.412618,-16.587382,0.071429,0.403176,50.0
1981-03-29,1981,2,brazil,arrows,Arrows,DNF,20,31,983.412618,985.036435,1.623818,0.416667,0.38419,50.0
1981-04-12,1981,3,argentina,arrows,Arrows,9,52,29,985.036435,1001.431511,16.395076,0.714286,0.386384,50.0
1981-05-03,1981,4,san-marino,arrows,Arrows,DNQ,,30,1001.431511,984.686567,-16.744944,0.086207,0.421106,50.0
1981-05-17,1981,5,belgium,arrows,Arrows,DNF,0,31,984.686567,977.627524,-7.059043,0.25,0.391181,50.0
1981-05-31,1981,6,monaco,arrows,Arrows,DNF,15,31,977.627524,980.217122,2.589598,0.433333,0.381541,50.0
1981-06-21,1981,7,spain,arrows,Arrows,DNF,43,30,980.217122,977.23116,-2.985962,0.327586,0.387305,50.0
1981-07-05,1981,8,france,arrows,Arrows,DNQ,,29,977.23116,963.862699,-13.368461,0.107143,0.374512,50.0
1981-07-18,1981,9,great-britain,arrows,Arrows,DNF,0,30,963.862699,959.093835,-4.768864,0.258621,0.353998,50.0
1981-08-02,1981,10,germany,arrows,Arrows,12,44,30,959.093835,972.742063,13.648228,0.62069,0.347725,50.0
1981-08-16,1981,11,austria,arrows,Arrows,DNF,27,28,972.742063,971.637452,-1.104611,0.333333,0.355426,50.0
1981-08-30,1981,12,netherlands,arrows,Arrows,7,69,30,971.637452,993.071844,21.434392,0.793103,0.364416,50.0
1981-09-13,1981,13,italy,arrows,Arrows,DNQ,,30,993.071844,977.813657,-15.258187,0.086207,0.391371,50.0
